time(us) gx(rad/s) gy(rad/s) gz(rad/s) ax(m/s^2) ay(m/s^2) az(m/s^2) temperature px py pz qx qy qz qw
2.083488685399991274e+07 1.385936477322475269e-01 -1.316048320867476029e+00 3.007777436970047180e-01 7.411858518534156559e+00 -3.519142792318274982e-02 4.053793660794251963e+00 3.110156250000000000e+01 2.939899265766143799e-01 1.055045843124389648e+00 1.048018932342529297e+00 -2.593093924224382230e-02 5.791065841913232287e-02 3.735985457897185724e-01 9.254177808761596680e-01
2.084321985399991274e+07 2.335260852690262401e-01 -1.167082979524345143e+00 2.142319196904456935e-01 7.053016911567599578e+00 4.914047403698129646e-02 3.662571466392196662e+00 3.109375000000000000e+01 2.934632599353790283e-01 1.054205536842345969e+00 1.048431396484375000e+00 -2.804462611675256900e-02 5.236269161105159414e-02 3.748651146888732910e-01 9.251744747161864124e-01
2.085155285399991274e+07 2.889403609493484959e-01 -1.063372563464403120e+00 1.779717710507006667e-01 6.672572799833827339e+00 3.412023931123053799e-03 3.692566489357028914e+00 3.111523437500000000e+01 2.929766774177551270e-01 1.053372383117675559e+00 1.048808097839355469e+00 -2.975665591657156162e-02 4.728797823190697414e-02 3.763296008110046387e-01 9.247996807098387562e-01
2.085988585399991274e+07 3.793337129891536930e-01 -8.394325503826870483e-01 8.198258314417511405e-02 6.875396316814923914e+00 -2.687736078440086107e-01 3.582885525463701537e+00 3.110742187500000000e+01 2.925632297992706299e-01 1.052587509155273438e+00 1.049198985099792480e+00 -3.048270568251609455e-02 4.292716830968862363e-02 3.777543902397155762e-01 9.244077205657960095e-01
2.086821985399991274e+07 4.593546526776250416e-01 -6.315756365898104185e-01 -4.932607985035518394e-02 7.537873129676259332e+00 -4.338196061552948568e-01 3.777125265111165753e+00 3.110351562500000000e+01 2.922838032245635986e-01 1.051694393157958762e+00 1.049477338790893555e+00 -3.081393055617808949e-02 3.906052932143216916e-02 3.793415427207946222e-01 9.239181280136108398e-01
2.087655285399991274e+07 4.962689587406091118e-01 -5.199551597437455097e-01 -1.227465320501739260e-01 7.396256709535610874e+00 -6.240831919612900291e-01 3.452361419840650925e+00 3.110351562500000000e+01 2.921032905578612726e-01 1.050772905349731445e+00 1.049705743789672852e+00 -3.059285320341587067e-02 3.581516072154050656e-02 3.810549676418303888e-01 9.233517646789550781e-01
2.088488685399991274e+07 5.236200761325011666e-01 -3.184504251619930670e-01 -2.423511271295195613e-01 7.051816772413866730e+00 -9.022410169805916702e-01 3.390259792395920790e+00 3.112890625000000000e+01 2.920648157596588135e-01 1.049780011177062766e+00 1.049872875213623047e+00 -2.999313175678258725e-02 3.310228884220132312e-02 3.827055394649505615e-01 9.227899312973022461e-01
2.089321985399991274e+07 5.001075868086266585e-01 -1.410557308365670282e-01 -3.260939643269739063e-01 7.927918354639906795e+00 -1.402096204561671833e+00 3.876746999679752115e+00 3.113476562500000000e+01 2.921439111232757013e-01 1.048762321472167969e+00 1.049979448318481445e+00 -2.883978001773351840e-02 3.094942867755895444e-02 3.843339979648590643e-01 9.222243428230284534e-01
2.090155285399991274e+07 4.719506711963903922e-01 -7.268054565264310540e-02 -3.686139996273216646e-01 8.439177634130720307e+00 -1.704416583139204633e+00 3.928549999360804179e+00 3.113476562500000000e+01 2.923240065574645441e-01 1.047710180282592773e+00 1.050058484077453613e+00 -2.721144072711472947e-02 2.956977114081385180e-02 3.857966065406799316e-01 9.217082262039183460e-01
2.090988585399991274e+07 3.728334571187628677e-01 1.232765946802957813e-02 -4.422449720638865767e-01 8.611997672268460136e+00 -1.993459444106796763e+00 4.007387660322875966e+00 3.110156250000000000e+01 2.926272749900817871e-01 1.046621561050415039e+00 1.050119280815124290e+00 -2.530783228576183666e-02 2.871019765734675669e-02 3.870373964309691828e-01 9.212694168090819202e-01
2.091821985399991274e+07 2.336062239167747967e-01 5.802582961318680094e-02 -4.996728903296837054e-01 8.587994889193774739e+00 -2.101842531253035773e+00 4.209969249245185452e+00 3.107421875000000000e+01 2.930341660976409357e-01 1.045492053031921165e+00 1.050154924392699973e+00 -2.312324754893785306e-02 2.819841913878920470e-02 3.879291117191314142e-01 9.209675192832945667e-01
2.092655285399991274e+07 9.393958679033129200e-02 8.111516667144061388e-02 -5.495569735547917167e-01 8.927634269700581271e+00 -1.960972252140874783e+00 4.590781353090394035e+00 3.110937500000000000e+01 2.935461997985839844e-01 1.044294118881225586e+00 1.050155282020568848e+00 -2.061049081385135998e-02 2.796768955886369187e-02 3.884586691856384277e-01 9.208109974861143909e-01
2.093488585399991274e+07 3.427968502289027719e-02 7.667984606749059240e-02 -5.826130656042727285e-01 9.015244427923184034e+00 -1.865841970049127552e+00 4.736471480817848523e+00 3.110156250000000000e+01 2.941425740718840998e-01 1.043057560920715110e+00 1.050201416015625000e+00 -1.805056259036069699e-02 2.768634259700786249e-02 3.886122405529022217e-01 9.208084344863891602e-01
2.094321985399991274e+07 -6.736963228263614933e-02 6.352043174874305587e-02 -6.440328242301301964e-01 8.650402125187955704e+00 -1.457558072674420391e+00 4.649671344378920601e+00 3.113281250000000000e+01 2.948057949542999268e-01 1.041751980781555176e+00 1.050246477127075195e+00 -1.547088567167520350e-02 2.756729163229473464e-02 3.883464932441711981e-01 9.209710359573363148e-01
2.095155285399991274e+07 -1.525616184627195115e-01 6.798841318600239159e-02 -6.854800713199569184e-01 8.739212422564296645e+00 -1.022820796093951046e+00 4.743473040740069813e+00 3.108007812500000000e+01 2.954896688461304266e-01 1.040394544601440430e+00 1.050290226936340332e+00 -1.267309579998254776e-02 2.769419178366669052e-02 3.876645565032958984e-01 9.212973117828368030e-01
